1ID,Abbr,Full,Source
287,AM,Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung,AJA
288,AM-BH,Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: Beiheft,AJA
289,AmerAnt,American Antiquity,AJA
290,AMIran,Archäologische Mitteilungen aus Iran,AJA
291,Ampurias,Ampurias: Revista de prehistoria, arqueología y etnología,AJA
292,AmtlBer,Amtliche Berichte aus den königlichen Kunstsammlungen,AJA
293,AMUGS,Antike Münzen und geschnittene Steine,AJA
294,Anadolu,Anadolu: Revue annuelle des études d’archéologie et d’histoire en Turquie,AJA
295,AnalBoll,Analecta Bollandiana,AJA
296,AnalFran,Analecta Franciscana,AJA
297,AnalOr,Analecta Orientalia,AJA
298,AnalRom,Analecta Romana Instituti Danici,AJA
299,Anatolia,Anatolia: Revue annuelle de l’Institut d’archéologie de l’Université d’Ankara,AJA
300,Anatolica,Anatolica: Annuaire international pour les civilisations de l’Asie antérieure,AJA
301,AnatSt,Anatolian Studies,AJA
302,AncEg,Ancient Egypt,AJA
303,AncW,The Ancient World,AJA
304,AnnAcFenn,Annales Academiae scientiarum Fennicae,AJA
305,AnnArch,Annales archéologiques,AJA
306,AnnArchBrux,Annales de la Société royale d’archéologie de Bruxelles,AJA
307,AnnArchStorAnt,Annali del Seminario di studi del mondo classico: Sezione di archeologia e storia antica,AJA
308,AnnBari,Annali della Facoltà di Lettere e Filosofia, Università di Bari,AJA
309,AnnÉconSocCiv,Annales: Économie, sociétés, civilisations,AJA
310,AnnFaina,Annali della Fondazione per il Museo “Claudio Faina”,AJA
311,AnnInst,Annales Institutorum,AJA
312,AnnLiv,Annals of Archaeology and Anthropology (Liverpool),AJA
313,AnnLux,Annales de l’Institut archéologique du Luxembourg (Arlon),AJA
314,AnnNap,Annali della Facoltà di Lettere e Filosofia, Università di Napoli,AJA
315,AnnParis,Annales de l’Université de Paris,AJA
316,AnnPerugia,Annali della Facoltà di Lettere e Filosofia, Università degli studi di Perugia,AJA
317,AnnPhilHist,Annuaire, Institut de philologie et d’histoire, Université libre, Bruxelles,AJA
318,AnnPisa,Annali della Scuola normale superiore di Pisa,AJA
319,AnnRepCypr,Annual Report of the Director of the Department of Antiquities, Republic of Cyprus,AJA
320,AnnTor,Annuario della Accademia delle scienze di Torino,AJA
321,ANSMN,American Numismatic Society Museum Notes,AJA
322,Antaeus,Antaeus: Mitteilungen des Archäologischen Instituts der Ungarischen Akademie der Wissenschaften,AJA
323,AntAfr,Antiquités africaines,AJA
324,AntCl,L’Antiquité classique,AJA
325,AntDenk,Antike Denkmäler,AJA
326,AntHung,Antiquitas Hungarica,AJA
327,Antiquity,Antiquity: A Quarterly Review of Archaeology,AJA
328,AntJ,The Antiquaries Journal,AJA
329,AntK,Antike Kunst,AJA
330,AntK-BH,Antike Kunst: Beiheft,AJA
331,AntP,Antike Plastik,AJA
332,AntW,Antike Welt: Zeitschrift für Archäologie und Kulturgeschichte,AJA
333,AnzAW,Anzeiger für die Altertumswissenschaft,AJA
334,AnzSchweiz,Anzeiger für schweizerische Altertumskunde,AJA
335,AnzWien,Anzeiger: Österreichische Akademie der Wissenschaften, Wien, Philologisch-historische Klasse,AJA
336,AOAT,Alter Orient und Altes Testament,AJA
337,Apulum,Apulum: Acta Musei Apulensis,AJA
338,AquilNost,Aquileia nostra,AJA
339,AR,Archaeological Reports (supplement to JHS),AJA
340,Archaeology,Archaeology Magazine,AJA
341,Archaeometry,Archaeometry: Bulletin of the Research Laboratory for Archaeology and the History of Art, Oxford University,AJA
342,ArchAnthrop,Archiv für Anthropologie,AJA
343,ArchAusgr,Archäologische Ausgrabungen,AJA
344,ArchAustr,Archaeologia austriaca,AJA
345,ArchCl,Archeologia classica,AJA
346,ArchDelt,Archaiologikon Deltion,AJA
347,ArcheologiaPar,Archeologia: Trésors des âges (Paris),AJA
348,ArcheologiaRom,Archeologia: Rivista bimestrale (Rome),AJA
349,ArcheologiaWar,Archeologia: Rocznik Instytutu historii kultury materialnej Polskiej akademii nauk (Warsaw),AJA
350,ArchEph,Archaiologike Ephemeris,AJA
351,ArchErt,Archaeologiai ertesítö,AJA
352,ArchEsp,Archivo español de arte y arqueología,AJA
353,ArchEspArq,Archivo español de arqueología,AJA
354,ArchEspArt,Archivo español de arte,AJA
355,ArchGeogr,Archaeologia geographica,AJA
356,ArchInf,Archäologische Informationen: Mitteilungen zur Ur- und Frühgeschichte,AJA
357,Architectura,Architectura: Zeitschrift für Geschichte der Baukunst,AJA
358,ArchIug,Archaeologia iugoslavica,AJA
359,ArchJ,Archaeological Journal,AJA
360,ArchKF,Archiv für Keilschriftforschung,AJA
361,ArchKorrBl,Archaeologisches Korrespondenzblatt,AJA
362,ArchMiss,Archives des Missions scientifiques et littéraires,AJA
363,ArchNews,Archaeological News,AJA
364,ArchOrient,Archiv orientální,AJA
